utc_time,latitude,longitude,pressure_dbar,temperature_c,conductivity_sm,turbidity_ftu,oxygen_raw_v,orp
2025-04-11T18:52:41Z,27.113005,-165.446322,52.840000,21.193100,4.936528,0.649000,2.581400,126.343110
2025-04-11T18:52:42Z,27.113006,-165.446316,52.832000,21.193600,4.936582,0.650000,2.581500,126.312580
2025-04-11T18:52:43Z,27.113008,-165.446311,52.796000,21.193500,4.936571,0.648000,2.581100,126.322760
2025-04-11T18:52:44Z,27.113010,-165.446307,52.812000,21.193500,4.936575,0.648000,2.580800,126.261710
2025-04-11T18:52:45Z,27.113011,-165.446303,52.815000,21.193600,4.936585,0.650000,2.580500,126.292230
2025-04-11T18:52:46Z,27.113013,-165.446299,52.797000,21.193700,4.936610,0.647000,2.580900,126.271880
2025-04-11T18:52:47Z,27.113014,-165.446295,52.808000,21.193600,4.936596,0.649000,2.581200,126.241350
2025-04-11T18:52:48Z,27.113016,-165.446291,52.793000,21.193600,4.936587,0.651000,2.582100,126.231180
2025-04-11T18:52:49Z,27.113018,-165.446288,52.823000,21.193600,4.936582,0.648000,2.582400,126.210830
2025-04-11T18:52:50Z,27.113019,-165.446284,52.831000,21.193600,4.936585,0.648000,2.582800,126.261710
2025-04-11T18:52:51Z,27.113020,-165.446279,52.828000,21.193400,4.936565,0.650000,2.583200,126.261710
2025-04-11T18:52:52Z,27.113021,-165.446274,52.847000,21.192700,4.936483,0.649000,2.583600,126.200650
2025-04-11T18:52:53Z,27.113021,-165.446269,52.780000,21.193200,4.936527,0.648000,2.583700,126.200650
2025-04-11T18:52:54Z,27.113022,-165.446264,52.808000,21.193300,4.936544,0.650000,2.583300,126.159950
2025-04-11T18:52:55Z,27.113023,-165.446259,52.834000,21.193400,4.936558,0.649000,2.583100,126.159950
2025-04-11T18:52:56Z,27.113024,-165.446254,52.839000,21.193200,4.936527,0.647000,2.583300,126.129430
2025-04-11T18:52:57Z,27.113024,-165.446249,52.818000,21.193300,4.936546,0.648000,2.583700,126.170130
2025-04-11T18:52:58Z,27.113025,-165.446243,52.822000,21.192400,4.936456,0.647000,2.583700,126.159950
2025-04-11T18:52:59Z,27.113026,-165.446238,52.844000,21.192200,4.936429,0.649000,2.583500,126.149780
2025-04-11T18:53:00Z,27.113027,-165.446233,52.786000,21.189700,4.936181,0.654000,2.583300,126.139600
2025-04-11T18:53:01Z,27.113027,-165.446228,52.862000,21.187600,4.935890,0.648000,2.583100,126.129430
2025-04-11T18:53:02Z,27.113028,-165.446223,52.789000,21.187700,4.935914,0.652000,2.583200,126.129430
2025-04-11T18:53:03Z,27.113029,-165.446218,52.776000,21.188700,4.935989,0.648000,2.583000,126.139600
2025-04-11T18:53:04Z,27.113030,-165.446213,52.816000,21.190800,4.936262,0.651000,2.582700,126.129430
2025-04-11T18:53:05Z,27.113030,-165.446208,52.803000,21.191800,4.936376,0.649000,2.582300,126.129430
2025-04-11T18:53:06Z,27.113031,-165.446203,52.862000,21.191900,4.936385,0.648000,2.582200,126.129430
2025-04-11T18:53:07Z,27.113032,-165.446198,52.815000,21.192300,4.936421,0.650000,2.582000,126.149780
2025-04-11T18:53:08Z,27.113033,-165.446193,52.832000,21.193000,4.936504,0.647000,2.581700,126.129430
2025-04-11T18:53:09Z,27.113033,-165.446188,52.792000,21.193200,4.936537,0.653000,2.581700,126.129430
2025-04-11T18:53:10Z,27.113034,-165.446183,52.854000,21.193100,4.936518,0.648000,2.581400,126.129430
2025-04-11T18:53:11Z,27.113035,-165.446178,52.771000,21.193000,4.936524,0.650000,2.581100,126.129430
